  1 34215  102.5625
  1 34217  102.5625
  1 34217  102.5625
  1 34217  102.5625
  1 34219  102.5625
  1 34220  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34221  102.5625
  1 34222  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34223  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34224  102.5625
  1 34225  102.5625
  1 34228  102.5625
  1 34229  102.5625
  1 34229  102.5625
  1 34229  102.5625
  1 34229  102.5625
  1 34229  102.5625
  1 34229  102.5625
  1 34230  102.5625
  1 34230  102.5625
  1 34231  102.5625
  1 34231  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34242  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34243  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34245  102.5625
  1 34253  102.6250
  1 34253  102.5625
  1 34253  102.5625
  1 34253  102.5625
  1 34253  102.5625
  1 34254  102.5625
  1 34254  102.5625
  1 34256  102.5625
  1 34256  102.5625
  1 34256  102.5625
  1 34256  102.5625
  1 34256  102.6250
  1 34256  102.5625
  1 34256  102.5625
  1 34256  102.5625
  1 34257  102.5625
  1 34257  102.5625
  1 34257  102.5625
  1 34257  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34258  102.5625
  1 34259  102.6250
  1 34260  102.5625
  1 34261  102.5625
  1 34261  102.5625
  1 34261  102.5625
  1 34261  102.5625
  1 34262  102.5625
  1 34263  102.5625
  1 34263  102.5625
  1 34264  102.5625
  1 34265  102.5625
  1 34265  102.5625
  1 34268  102.6250
  1 34268  102.5625
  1 34268  102.5625
  1 34268  102.5625
  1 34268  102.5625
  1 34269  102.5625
  1 34269  102.5625
  1 34269  102.5625
  1 34270  102.5625
  1 34270  102.5625
  1 34273  102.5625
  1 34273  102.5625
  1 34274  102.6250
  1 34274  102.5625
  1 34275  102.5625
  1 34275  102.5625
  1 34275  102.5625
  1 34275  102.5625
  1 34276  102.6250
  1 34280  102.5625
  1 34280  102.5625
  1 34280  102.5625
  1 34280  102.5625
  1 34280  102.5625
  1 34280  102.7500
  1 34281  102.5625
  1 34281  102.5625
  1 34282  102.5625
  1 34282  102.5625
  1 34282  102.5625
  1 34282  102.5625
  1 34282  102.5625
  1 34282  102.5625
  1 34284  102.5625
  1 34284  102.5625
  1 34284  102.5625
  1 34285  102.5625
  1 34285  102.5625
  1 34291  102.7500
  1 34296  102.5625
  1 34296  102.7500
