    8.    0.4  0.125 0   0  0
    0.    0.1  0.370 0   0  0
    1.    1.0  0.125 0   0  0
    5.    0.1  0.125 0   0  0
    4.    0.1  0.625 0   0  0
   62.    1.0  0.625 1   1  1
    2.    2.0  0.625 1  -1  1
   12.    0.1  0.625 0   0  0
   22.    5.0  0.625 1   1  1
    4.   10.0  0.125 0   0  0
   15.    1.0  0.125 0   0  0
   54.    1.0  0.125 0   0  0
    0.    1.0  0.125 0   0  0
    0.    0.1  0.125 0   0  0
   12.    1.0  0.125 0   0  0
   12.    0.5  0.125 0   0  0
   22.    1.0  0.125 0   0  0
   10.    0.6  0.125 1  -1  1
    4.    0.1  0.745 1   1  1
   19.    1.3  0.745 0   0  0
    0.    1.0  0.745 0   0  0
   21.    0.3  0.620 0   0  0
   24.    0.4  0.620 0   0  0
    0.    5.7  0.620 1   1  1
   51.    3.1  0.120 0   0  0
   32.    1.2  0.120 0   0  0
    4.    1.0  0.120 0   0  0
   10.    2.0  0.120 0   0  0
   49.    0.2  0.120 1  -1  1
    0.    0.4  0.120 0   0  0
   11.    2.0  0.120 0   0  0
    8.    0.9  0.245 0   0  0
   18.    1.3  0.370 0   0  0
   10.    0.5  0.750 1  -1  1
   16.    0.2  0.370 0   0  0
   38.    1.0  0.125 0   0  0
   19.    0.1  0.125 0   0  0
    7.    0.2  0.125 0   0  0
   18.    0.3  0.620 0   0  0
   10.    1.2  0.495 0   0  0
   14.    5.0  0.745 0   0  0
   71.    2.0  0.745 1  -1  1
    1.    4.0  0.120 0   0  0
   15.    0.1  0.120 0   0  0
   26.    0.1  0.120 0   0  0
   18.    0.3  0.120 1   1  1
   34.    0.3  0.120 1  -1  1
   16.    0.1  0.120 0   0  0
   29.    1.3  0.245 0   0  0
   26.    0.3  0.745 0   0  0
   14.    0.8  0.750 0   0  0
   26.    3.0  0.750 1  -1  1
    8.    2.0  0.250 0   0  0
   30.    0.1  0.250 0   0  0
  118.    0.1  0.250 1   1  1
   15.    1.0  0.370 1  -1  1
   65.    2.0  0.625 0   0  0
    4.    0.5  0.620 0   0  0
   27.    0.2  0.125 0   0  0
   88.    1.0  0.125 1   1  1
  207.    2.7  0.125 0   0  0
    5.    4.0  0.125 0   0  0
    0.    5.0  0.120 0   0  0
  104.    5.0  0.120 0   0  0
    5.    1.9  0.120 0   0  0
    0.    4.8  0.120 0   0  0
   38.    2.0  0.120 0   0  0
   23.    0.3  0.120 0   0  0
    3.    1.0  0.495 0   0  0
   12.    0.1  0.750 0   0  0
    2.    1.5  0.750 1   1  1
    6.    0.1  0.620 1  -1  1
    9.    1.5  0.120 1   1  1
   27.    0.4  0.120 1  -1  1
    3.    0.4  0.120 1   1  1
